year,obs_count,ATCw_count,ATCc_count,obs_count_Northern,ATCw_Northern,ATCc_Northern,obs_count_Southern,ATCw_Southern,ATCc_Southern,MAT_global,MAT_Northern,MAT_Southern
1973,1818766,5992,7844,1687711,5955,7667,130701,37,177,10.16494691,9.338801588,20.83751251
1974,1874044,5816,9113,1737563,5765,8922,136120,51,191,9.557464381,8.702925784,20.46770211
1975,1944836,7476,9493,1797825,7431,9273,147011,45,220,9.976863516,9.108669024,20.59417625
1976,2077694,8726,12065,1913784,8691,11862,163910,35,203,9.680324731,8.746465728,20.58389631
1977,1929715,5847,9286,1756754,5778,9024,172961,69,262,11.24289505,10.29936503,20.82627008
1978,2111953,6524,9787,1925442,6458,9606,186511,66,181,10.47677792,9.473435248,20.8347628
1979,2103269,8361,11891,1904001,8309,11732,199268,52,159,10.68073434,9.608127978,20.92946267
1980,2094951,7440,9681,1930140,7369,9470,164811,71,211,10.21288788,9.29483958,20.96436524
1981,2131850,5716,8027,1942138,5673,7784,189400,43,243,10.71041307,9.734856695,20.68607533
1982,1944809,7171,10000,1782286,7131,9830,162523,40,170,11.10130101,10.18332751,21.16813039
1983,2074221,6133,8030,1898704,6085,7889,175517,48,141,11.05311105,10.12124378,21.13384458
1984,2172926,6531,9482,1995508,6507,9343,177126,23,139,10.30675161,9.385851706,20.71063192
1985,2206817,7920,10125,2037211,7884,10000,169179,34,123,9.93514747,9.023262904,20.92406892
1986,2265331,7347,10423,2088643,7290,10297,175881,56,123,10.33258662,9.444207608,20.87095378
1987,2304498,7223,12157,2129675,7173,12030,173896,48,120,10.23733286,9.329380983,21.34235661
1988,2359205,8359,11407,2174689,8317,11240,183237,42,165,10.57533362,9.680374731,21.1853101
1989,2353157,8453,13017,2179587,8425,12850,172580,28,165,10.8601026,10.08211319,20.68214999
1990,2412211,8482,12876,2214400,8408,12595,197085,74,280,11.21505441,10.42944919,20.04016823
1991,2347020,6679,10637,2117985,6590,10114,228408,89,522,11.23755737,10.28006879,20.11769679
1992,2338272,6407,8853,2101250,6339,8518,236166,65,329,11.4559087,10.51694891,19.81114626
1993,2374546,7153,10405,2104061,7063,9892,269624,89,507,11.49892719,10.36624899,20.34073129
1994,2411324,6304,9687,2134693,6240,9215,275274,63,470,12.08055243,11.00426051,20.41923643
1995,2348504,5806,8603,2046811,5725,8064,300606,79,535,12.52783964,11.35649934,20.50822468
1996,2320905,6615,10982,2005719,6520,10374,314824,95,608,12.22188248,10.9387469,20.39866384
1997,2347051,7229,9266,2028371,7142,8857,317143,84,407,12.62304988,11.41410759,20.36973192
1998,2360704,4600,7837,2023282,4472,7023,337060,127,813,13.17532352,11.99755856,20.24707536
1999,2433653,5808,8111,2084219,5715,7533,348715,90,576,12.91526362,11.74099525,19.9375332
2000,2407751,5298,8612,2052225,5208,8066,354801,88,542,12.88884726,11.71665642,19.67276915
2001,2446436,5200,7916,2102815,5134,7481,342896,62,427,12.77202633,11.62375765,19.81831161
2002,2653528,6018,10143,2301685,5879,9396,351480,137,746,12.62879059,11.53722246,19.77944596
2003,2683550,7614,10260,2312132,7479,9552,371055,132,705,12.59180594,11.44859509,19.71853005
2004,2775209,7759,11097,2387386,7603,10240,387460,154,855,12.57475177,11.42059214,19.68887828
2005,2797508,6757,9728,2406932,6642,8736,390219,115,992,12.79028421,11.64195443,19.87518832
2006,2977511,6165,10546,2589526,5980,9857,387624,183,689,12.79015969,11.78158472,19.52744942
2007,3039373,7023,11634,2647545,6859,10869,391471,162,765,12.8045855,11.78001952,19.73350829
2008,3262422,11069,15899,2849595,10949,15120,412467,118,778,12.51111417,11.47210826,19.68887168
2009,3390891,10580,15535,2977480,10421,14600,413055,158,935,12.61031527,11.56320492,20.15818031
2010,3489967,7596,10678,3059239,7461,10036,430469,135,642,12.69168852,11.66936158,19.95687649
2011,3556067,9174,12551,3129054,9096,11961,427013,78,590,12.78623462,11.84426273,19.68879011
2012,3691935,9288,13393,3255630,9158,12660,436305,130,733,12.75985613,11.79314497,19.9732822
2013,3722451,10558,17444,3287450,10305,16191,435001,253,1253,12.30165849,11.25726642,20.19448333
2014,3738309,12653,20179,3277045,12489,19218,461264,164,961,12.51770499,11.44710095,20.12379955
2015,3883582,11277,15647,3410272,11136,14810,473310,141,837,12.81685728,11.7665528,20.38446402
2016,3785082,10731,11934,3309884,10619,11068,475198,112,866,12.92816774,11.85497533,20.4032463
2017,4025454,10723,14255,3411503,10549,13230,613951,174,1025,13.26191429,11.85102453,21.10171695
2018,3987478,11377,18016,3391002,11225,16963,596476,152,1053,13.17191823,11.79170876,21.01849222
2019,4018035,10347,18467,3421363,10024,17209,596672,323,1258,13.16296625,11.75573202,21.23215528
2020,3967072,10066,16872,3411261,9777,15742,555811,289,1130,13.29373242,12.09860648,20.6287555
2021,3863058,10128,14814,3340479,9941,13907,522579,187,907,13.02441885,11.90072212,20.20741957
2022,3829731,14281,20912,3298928,14106,20208,530803,175,704,13.16749713,12.0272358,20.25419412
2023,3756383,7689,13853,3201917,7489,12800,554466,200,1053,14.07385617,12.91311046,20.77690276
